name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Udayan Mehta,Compliance Officer,85,Legal and Compliance,Entry Level/Junior,0.29,0.6,1,79,"Mergers and Acquisitions} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Risk Assessment and Management} , {Data Privacy and Protection",48000
Chandrabha Mehta,IT Manager,74,Information Technology (IT),Associate/Specialist,0.71,1.2,7,79,"Time Management and Organization} , {System Administration} , {Database Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Governance and Compliance} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {Analytical and Data Interpretation Skills",88000
Balabhadra Balakrishnan,Help Desk Analyst,77,Customer Support,Entry Level/Junior,0.43,0.1,1,41,"Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Customer Data Management} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Communication Tools (e.g., Live Chat, Email)",41000
Pratap Datta,Market Research Analyst,81,Sales and Marketing,Senior/Lead,0.45,7.5,27,66,"Sales Forecasting and Planning} , {Market Research and Analysis} , {Creativity and Innovation} , {Product/Service Positioning and Branding} , {Problem Solving and Decision Making} , {Sales Funnel Management} , {Strategic Thinking and Planning} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",117000
Hanita Mehta,Call Center Supervisor,87,Customer Support,Mid-Level/Intermediate,0.3,4.1,3,79,"Continuous Learning and Skill Enhancement} , {Product Knowledge} , {Time Management and Organization} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Teamwork and Collaboration} , {Customer Data Management} , {Communication and Active Listening} , {Multi-Channel Support (Phone, Chat, Email)} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",73000
Adamya Sen Mukhopadhyay,Operations Manager,98,Operations,Associate/Specialist,0.36,3.0,10,84,"Supply Chain Management} , {Customer Focus} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Strategic Thinking} , {Analytical Thinking} , {Continuous Improvement Mindset} , {Inventory Management} , {Problem Solving and Decision Making",230000
Aarna Singh Khanna,IT Support Specialist,90,Information Technology (IT),Senior/Lead,0.12,7.4,25,52,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Time Management and Organization} , {System Administration} , {Customer Service and Relationship Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Governance and Compliance} , {Cloud Computing} , {IT Project Management} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",117000
Vanita Ranganathan,Auditor,79,Finance and Accounting,Senior/Lead,0.49,5.8,2,56,"ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Budgeting and Forecasting} , {Cost Accounting} , {Ethical Conduct and Professionalism} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",110000
Januja Deshpande,Web Developer,78,Information Technology (IT),Mid-Level/Intermediate,0.91,5.3,13,33,"IT Service Management} , {Time Management and Organization} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Continuous Learning and Professional Development} , {IT Project Management} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection",98000
Rajesh Kashyap,Financial Controller,78,Finance and Accounting,Entry Level/Junior,0.84,0.7,0,46,"Communication and Presentation Skills} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Analysis and Reporting} , {Adaptability and Flexibility",70000
Lanisha Patel,Project Manager,94,Project Management,Entry Level/Junior,0.33,0.7,2,79,"Project Monitoring and Control} , {Quality Management} , {Reporting and Documentation} , {Strategic Thinking and Planning",70000
Ajanabh Anand,Regulatory Affairs Specialist,75,Legal and Compliance,Mid-Level/Intermediate,0.29,3.5,4,97,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Legal Research and Analysis} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Teamwork and Collaboration} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Communication and Negotiation Skills} , {Problem Solving and Decision Making} , {Data Privacy and Protection",77000
Aja Malhotra Sethi,Research Scientist,75,Research and Development (R&D),Manager/Supervisor,0.82,10.1,67,55,"Communication and Presentation Skills} , {Quality Control and Assurance} , {Programming and Software Development} , {Collaboration and Teamwork} , {Critical Thinking and Problem Solving} , {Leadership and Mentoring} , {Creativity and Innovation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Project Management} , {Analytical Skills",147000
Jaladhi Biswas,Research Scientist,80,Research and Development (R&D),Manager/Supervisor,1.37,11.7,76,85,"Creativity and Innovation} , {Communication and Presentation Skills} , {Quality Control and Assurance} , {Programming and Software Development} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Leadership and Mentoring} , {Networking and Relationship Building} , {Time Management and Prioritization} , {Research Methodology and Design} , {Experimental Design and Prototyping} , {Project Management} , {Analytical Skills} , {Intellectual Property Management",171000
Aanan Mehra Bhatia,Research Scientist,85,Research and Development (R&D),Senior/Lead,0.83,7.7,26,93,"Communication and Presentation Skills} , {Quality Control and Assurance} , {Technical Writing and Documentation} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Creativity and Innovation} , {Research Methodology and Design} , {Experimental Design and Prototyping} , {Networking and Relationship Building} , {Analytical Skills} , {Intellectual Property Management",130000
Kanan Das,IT Support Specialist,80,Information Technology (IT),Senior/Lead,0.21,8.4,15,41,"Programming and Software Development} , {System Administration} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Leadership and Team Management} , {Cloud Computing} , {Continuous Learning and Professional Development} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",119000
Caturnana Reddy,Call Center Supervisor,92,Customer Support,Associate/Specialist,0.1,1.6,2,38,"Product Knowledge} , {Time Management and Organization} , {Patience and Resilience} , {Quality Assurance and Call Monitoring} , {Teamwork and Collaboration} , {Customer Data Management} , {Communication and Active Listening} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Troubleshooting and Problem Solving} , {Communication Tools (e.g., Live Chat, Email)",52000
Amrit Gokhale,Web Developer,98,Information Technology (IT),Senior/Lead,0.31,6.9,16,57,"IT Risk Assessment and Mitigation} , {Time Management and Organization} , {Programming and Software Development} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Cloud Computing} , {IT Governance and Compliance} , {IT Project Management} , {Cybersecurity and Data Protection} , {Continuous Learning and Professional Development",117000
Ishana Deshmukh Pawar,Accountant,84,Finance and Accounting,Senior/Lead,0.43,5.8,4,91,"Communication and Presentation Skills} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Attention to Detail} , {Financial Modeling} , {Financial Analysis and Reporting} , {Financial Statement Preparation",116000
Jayashree Nair Menon,Treasury Analyst,40,Finance and Accounting,Associate/Specialist,0.87,3.1,1,79,"ERP (Enterprise Resource Planning) System Proficiency} , {Adaptability and Flexibility} , {Auditing and Internal Controls} , {Cash Flow Management} , {Budgeting and Forecasting} , {Cost Accounting} , {Attention to Detail} , {Ethical Conduct and Professionalism} , {Financial Analysis and Reporting} , {Financial Statement Preparation",90000
Kaeya Rao Prasad,Product Development Manager,88,Research and Development (R&D),Associate/Specialist,0.05,1.4,7,70,"Communication and Presentation Skills} , {Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Adaptability and Flexibility} , {Technical Writing and Documentation} , {Data Analysis and Interpretation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Project Management} , {Intellectual Property Management",86000
Anbarasi Nair Menon,Recruitment Specialist,92,Human Resources (HR),Associate/Specialist,0.78,1.7,5,73,"Time Management and Organization} , {HR Compliance and Legal Knowledge} , {Communication and Interpersonal Skills} , {HR Analytics and Reporting} , {Performance Management} , {Empathy and Emotional Intelligence} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management",82000
Sagara Rana Verma,Web Developer,73,Information Technology (IT),Senior/Lead,0.74,8.3,12,98,"IT Service Management} , {Time Management and Organization} , {Programming and Software Development} , {Database Management} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",133000
Ajalaa Puri,Web Developer,91,Information Technology (IT),Senior/Lead,0.75,6.1,27,79,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Time Management and Organization} , {Programming and Software Development} , {System Administration} , {Database Management} , {Problem Solving and Critical Thinking} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {Continuous Learning and Professional Development} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",119000
Amrit Bhasin,Compliance Officer,77,Legal and Compliance,Senior/Lead,0.05,8.9,7,56,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Legal Research and Analysis} , {Adaptability and Flexibility} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Teamwork and Collaboration} , {Ethical Conduct and Professionalism} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Problem Solving and Decision Making} , {Data Privacy and Protection",101000
